当前积分,帖子数,关注的车,注册时间,作者,当前链接,上级链接,下载时间
,,,,,http://club.autohome.com.cn,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:12
,340,雨燕 2011款 1.5L 手动时尚版,2012年3月8日,"小S仅此而已 
                    
                发信息103帖340帖13109回陕西 咸阳汽车之家陕西雨燕...雨燕
                    
                
                                推荐口碑勋章
                            
                    
                
                                优秀追加口碑
                            
                    
                
                                真交情，十年如初 勋章
                            
                    
                
                                解答达人一级勋章
                            
                    
                
                                六一儿童安全座椅勋章
                            
                    
                
                                解答达人二级勋章
                            
                    
                
                                质量评价员
                            
                    
                
                                “小金人”
                            
                    
                
                                春风得意
                            
                    
                
                                寄语2017活动勋章
                            
                    
                
                                真实报价员
                            
                    
                
                                家de报价员
                            
                    
                
                                解答达人三级勋章
                            
                    
                
                                解答达人四级勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200042-63893124-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:12
,307,Tiguan 2012款 2.0TSI 舒适版,2011年12月5日,"gaoshan003 
                    
                发信息128帖307帖13479回江苏 扬州汽车之家江苏途观...Tiguan
                    
                
                                口碑达人
                            
                    
                
                                100分任务纪念版勋章
                            
                    
                
                                达人勋章
                            
                    
                
                                汽车之家问答拯救勋章
                            
                    
                
                                推荐口碑勋章
                            
                    
                
                                母亲节说出你心中的爱
                            
                    
                
                                五一出游作业帖征集
                            
                    
                
                                汽车之家8周年
                            
                    
                
                                棕香飘万里,端午节快乐
                            
                    
                
                                加油站之家调查员（新）
                            
                    
                
                                加油站之家调查员
                            
                    
                
                                满级沙发勋章
                            
                    
                
                                金点子勋章
                            
                    
                
                                春节一马当先勋章
                            
                    
                
                                保养分享内测勋章
                            
                    
                
                                自驾游调查限量勋章
                            
                    
                
                                新车PK台
                            
                    
                
                                版主·童心蜜粽勋章
                            
                    
                
                                猜尽2014巴西世界杯
                            
                    
                
                                认证车主抽奖活动奖品
                            
                    
                
                                知道荣誉勋章
                            
                    
                
                                最爱旅行一级勋章
                            
                    
                
                                游记最精彩一级勋章
                            
                    
                
                                首页游记大牛一级勋章
                            
                    
                
                                2014年优秀版主
                            
                    
                
                                全系捷豹XE 领跑者
                            
                    
                
                                双蛋节晒幸福
                            
                    
                
                                论坛精彩短视频勋章
                            
                    
                
                                春节三阳开泰勋章
                            
                    
                
                                解答达人一级勋章
                            
                    
                
                                版主五一踏青征文勋章
                            
                    
                
                                真交情，十年如初 勋章
                            
                    
                
                                解答达人二级勋章
                            
                    
                
                                2015年优秀版主
                            
                    
                
                                质量评价员
                            
                    
                
                                车主价格伯乐
                            
                    
                
                                炉火纯青
                            
                    
                
                                “灯谜达人”勋章
                            
                    
                
                                解答达人三级勋章
                            
                    
                
                                养车之家“养车达人”
                            
                    
                
                                北京车展—答题高手
                            
                    
                
                                知道·“愚”乐勋章
                            
                    
                
                                “小金人”
                            
                    
                
                                春风得意
                            
                    
                
                                汽车之家11岁生日蛋糕
                            
                    
                
                                粽情端午
                            
                    
                
                                奥运知多少
                            
                    
                
                                2016法国欧洲杯勋章
                            
                    
                
                                里约奥运知识竞猜
                            
                    
                
                                解答达人四级勋章
                            
                    
                
                                2016国庆勋章
                            
                    
                
                                2016年优秀版主
                            
                    
                
                                定格2016纪念勋章
                            
                    
                
                                真实报价员
                            
                    
                
                                家de报价员
                            
                    
                
                                寄语2017活动勋章
                            
                    
                
                                2017版主新春征文
                            
                    
                
                                猜灯谜
                            
                    
                
                                版主五一勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200042-63892784-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:13
,190,瑞风 2011款 2.4L彩色之旅 汽油标准版HFC4GA1-C|我要申请成为认证车主|我要申请成为认证车主,2012年5月13日,"苗子798 
                    
                发信息158帖190帖33680回山东 潍坊瑞风凯越指南者(进…
                    
                
                                测试达人
                            
                    
                
                                2012金秋十一自驾游
                            
                    
                
                                100分任务纪念版勋章
                            
                    
                
                                1111单身又怎样
                            
                    
                
                                2013晒晒过年那些事
                            
                    
                
                                精英拍客
                            
                    
                
                                2013上海车展聊车
                            
                    
                
                                四级沙发勋章
                            
                    
                
                                推荐口碑勋章
                            
                    
                
                                母亲节说出你心中的爱
                            
                    
                
                                汽车之家8周年
                            
                    
                
                                春节一马当先勋章
                            
                    
                
                                自驾游调查限量勋章
                            
                    
                
                                最爱旅行一级勋章
                            
                    
                
                                首页游记大牛一级勋章
                            
                    
                
                                汽车之家九周年
                            
                    
                
                                最佳评委
                            
                    
                
                                版主·童心蜜粽勋章
                            
                    
                
                                猜尽2014巴西世界杯
                            
                    
                
                                认证车主抽奖活动奖品
                            
                    
                
                                2014年优秀版主
                            
                    
                
                                全系捷豹XE 领跑者
                            
                    
                
                                论坛精彩短视频勋章
                            
                    
                
                                超级试驾员
                            
                    
                
                                春节三阳开泰勋章
                            
                    
                
                                真交情，十年如初 勋章
                            
                    
                
                                2015年优秀版主
                            
                    
                
                                解答达人一级勋章
                            
                    
                
                                游记最精彩二级勋章
                            
                    
                
                                北京车展—答题高手
                            
                    
                
                                质量评价员
                            
                    
                
                                2016年卓越版主
                            
                    
                
                                寄语2017活动勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200042-29899173-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:13
,4,高尔夫 ,2013年8月3日,"福美来东莞
                    
                发信息4帖92回广东 东莞高尔夫",http://club.autohome.com.cn/bbs/thread-o-200042-63396926-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:14
,79,中华骏捷FRV 2008款 1.6L 手动豪华型|我要申请成为认证车主,2015年3月1日,"张怀中2009 
                    
                发信息45帖79帖4309回黑龙江 大庆标致3008全国狮友...中华骏捷FR…标致3008
                    
                
                                真实报价员
                            
                    
                
                                优秀追加口碑
                            
                    
                
                                Furious 7勋章
                            
                    
                
                                解答达人一级勋章
                            
                    
                
                                汽车之家10年故事征集
                            
                    
                
                                真交情，十年如初 勋章
                            
                    
                
                                六一儿童安全座椅勋章
                            
                    
                
                                最爱旅行一级勋章
                            
                    
                
                                游记最精彩一级勋章
                            
                    
                
                                质量评价员
                            
                    
                
                                解答达人二级勋章
                            
                    
                
                                解答达人三级勋章
                            
                    
                
                                知道·限量助人为乐勋章
                            
                    
                
                                北京车展—答题高手
                            
                    
                
                                新版车标全网首发
                            
                    
                
                                知道·“愚”乐勋章
                            
                    
                
                                推荐口碑勋章
                            
                    
                
                                春风得意
                            
                    
                
                                光辉岁月
                            
                    
                
                                【部落】专属勋章
                            
                    
                
                                粽情端午
                            
                    
                
                                感“童”身受
                            
                    
                
                                奥运知多少
                            
                    
                
                                2016法国欧洲杯勋章
                            
                    
                
                                超级试驾员
                            
                    
                
                                里约奥运知识竞猜
                            
                    
                
                                解答达人四级勋章
                            
                    
                
                                定格2016纪念勋章
                            
                    
                
                                安全老司机认证
                            
                    
                
                                寄语2017活动勋章
                            
                    
                
                                猜灯谜
                            ",http://club.autohome.com.cn/bbs/thread-o-200099-63923693-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:14
,27,宝马X1 2013款 xDrive20i X设计套装|我要申请成为认证车主|我要申请成为认证车主,2013年3月9日,"shadowchasm 
                    
                发信息8帖27帖1008回广东 深圳宝马X1奔驰E级奥迪A7
                    
                
                                质量评价员
                            
                    
                
                                抢先报价员（苏）
                            
                    
                
                                真实报价员
                            
                    
                
                                家de报价员
                            
                    
                
                                解答达人一级勋章
                            
                    
                
                                解答达人二级勋章
                            
                    
                
                                解答达人三级勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200042-62863375-1.html#pvareaid=2199101,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:14
,12,汉腾X7 2016款 1.5T 手动尊享型,2017年1月10日,"00陌陌00 
                    
                发信息12帖8回浙江 金华汉腾X7
                    
                
                                满级口碑勋章
                            
                    
                
                                真实报价员
                            
                    
                
                                家de报价员
                            
                    
                
                                最爱旅行一级勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200099-62237592-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:15
,9,朗行 2015款 230TSI DSG舒适版|我要申请成为认证车主,2011年10月28日,"银风2 
                    
                发信息1帖9帖249回江苏 连云港朗行风云2
                    
                
                                口碑达人
                            
                    
                
                                弹指神通勋章
                            
                    
                
                                真交情，十年如初 勋章
                            
                    
                
                                质量评价员
                            
                    
                
                                解答达人一级勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200042-63764763-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:15
,2,奥迪SQ5 2013款 3.0TFSI 基本型,2015年5月31日,"七四周
                    
                发信息1帖2帖11回广西 北海奥迪SQ5
                    
                
                                最爱旅行一级勋章
                            
                    
                
                                游记最精彩一级勋章
                            ",http://club.autohome.com.cn/bbs/thread-o-200099-63921894-1.html,http://club.autohome.com.cn/bbs/forum-o-200042-1.html?qaType=-1#pvareaid=101061,2017-06-13 09:46:15
