基金ID,名称,净值,累计净值,估值日期
XTBEIJINGGUOJIP10L1,稳健策略1期,1.04,1.04,2017-2-17
XTBEIJINGGUOJIP10L2,民生汇鑫5号,1.1428,1.1428,2017-2-17
XTBEIJINGGUOJIP10L3,民生鑫鑫1号,0.9667,0.9667,2017-2-17
XTBEIJINGGUOJIP10L4,越大壹号,0.9871,0.9871,2017-2-17
XTBEIJINGGUOJIP10L5,越大贰号,1.0861,1.0861,2017-2-17
XTBEIJINGGUOJIP10L6,民生证券投7号,1.0016,1.0016,2017-2-17
XTBEIJINGGUOJIP10L7,民生证券投12号,0.9951,0.9951,2017-2-17
XTBEIJINGGUOJIP10L8,民生鑫鑫2号,0.9541,0.9541,2017-2-17
XTBEIJINGGUOJIP10L1,申孚1号 ,1.0308,1.0308,2017-2-17
XTBEIJINGGUOJIP10L2,申孚2号 ,0.9935,0.9935,2017-2-17
XTBEIJINGGUOJIP10L3,申孚3号 ,0.9615,0.9615,2017-2-17
XTBEIJINGGUOJIP10L4,申孚4号 ,0.9660,0.9660,2017-2-17
XTBEIJINGGUOJIP10L5,申孚5号 ,0.9683,0.9683,2017-2-17
XTBEIJINGGUOJIP10L6,申孚6号 ,0.9431,0.9431,2017-2-17
XTBEIJINGGUOJIP10L7,稳健策略1期,1.04,1.04,2017-2-10
XTBEIJINGGUOJIP10L8,民生汇鑫5号,1.1532,1.1532,2017-2-10
XTBEIJINGGUOJIP10L1,民生鑫鑫1号,0.9809,0.9809,2017-2-10
XTBEIJINGGUOJIP10L2,越大壹号,1.0000,1.0000,2017-2-10
XTBEIJINGGUOJIP10L3,越大贰号,1.0566,1.0566,2017-2-10
XTBEIJINGGUOJIP10L4,民生证券投7号,1.0130,1.0130,2017-2-10
XTBEIJINGGUOJIP10L5,民生证券投12号,1.0115,1.0115,2017-2-10
XTBEIJINGGUOJIP10L6,民生鑫鑫2号,0.9651,0.9651,2017-2-10
XTBEIJINGGUOJIP10L7,申孚1号,1.0160,1.0160,2017-2-10
XTBEIJINGGUOJIP10L8,申孚2号,0.9943,0.9943,2017-2-10
XTBEIJINGGUOJIP10L1,申孚3号,0.9588,0.9588,2017-2-10
XTBEIJINGGUOJIP10L2,申孚4号,0.9518,0.9518,2017-2-10
XTBEIJINGGUOJIP10L3,申孚5号,0.9567,0.9567,2017-2-10
XTBEIJINGGUOJIP10L4,申孚6号,0.9388,0.9388,2017-2-10
XTBEIJINGGUOJIP10L5,同安定增,1.00,1.00,2017-1-9
XTBEIJINGGUOJIP10L6,民生证券投2号,1.1689,1.1689,2017-1-6
XTBEIJINGGUOJIP10L7,民生证券投5号,1.2526,1.2526,2017-1-6
XTBEIJINGGUOJIP10L8,民生汇鑫5号,1.1146,1.1146,2017-1-6
XTBEIJINGGUOJIP10L1,民生鑫鑫1号,0.9508,0.9508,2017-1-6
XTBEIJINGGUOJIP10L2,越大壹号,0.9583,0.9583,2017-1-6
XTBEIJINGGUOJIP10L3,越大贰号,1.0076,1.0076,2017-1-6
XTBEIJINGGUOJIP10L4,民生证券投7号,1.0041,1.0041,2017-1-6
XTBEIJINGGUOJIP10L5,民生证券投12号,1.0050,1.0050,2017-1-6
XTBEIJINGGUOJIP10L6,民生鑫鑫2号,0.9539,0.9539,2017-1-6
XTBEIJINGGUOJIP10L7,申孚1号,0.9844,0.9844,2017-1-6
XTBEIJINGGUOJIP10L8,申孚2号,0.9929,0.9929,2017-1-6
XTBEIJINGGUOJIP10L1,申孚3号,0.9121,0.9121,2017-1-6
XTBEIJINGGUOJIP10L2,申孚4号,0.9928,0.9928,2017-1-6
XTBEIJINGGUOJIP10L3,申孚5号,0.9457,0.9457,2017-1-6
XTBEIJINGGUOJIP10L4,申孚6号,0.9290,0.9290,2017-1-6
XTBEIJINGGUOJIP10L5,同安定增,1.00,1.00,2017-1-3
XTBEIJINGGUOJIP10L6,稳健策略1期,1.03,1.03,2017-1-3
XTBEIJINGGUOJIP10L7,稳健策略1期,1.04,1.04,2017-1-20
XTBEIJINGGUOJIP10L8,民生汇鑫5号,1.1181,1.1181,2017-1-20
XTBEIJINGGUOJIP10L1,民生鑫鑫1号,0.9673,0.9673,2017-1-20
XTBEIJINGGUOJIP10L2,越大壹号,0.9789,0.9789,2017-1-20
XTBEIJINGGUOJIP10L3,越大贰号,0.9916,0.9916,2017-1-20
XTBEIJINGGUOJIP10L4,民生证券投7号,0.9845,0.9845,2017-1-20
XTBEIJINGGUOJIP10L5,民生证券投12号,0.9801,0.9801,2017-1-20
XTBEIJINGGUOJIP10L6,民生鑫鑫2号,0.9608,0.9608,2017-1-20
XTBEIJINGGUOJIP10L7,同安定增,1.00,1.00,2017-1-16
XTBEIJINGGUOJIP10L8,稳健策略1期,1.04,1.04,2017-1-13
XTBEIJINGGUOJIP10L1,民生证券投5号,1.2513,1.2513,2017-1-13
XTBEIJINGGUOJIP10L2,民生汇鑫5号,1.1450,1.1450,2017-1-13
XTBEIJINGGUOJIP10L3,越大壹号,0.9503,0.9503,2017-1-13
XTBEIJINGGUOJIP10L4,越大贰号,0.9939,0.9939,2017-1-13
XTBEIJINGGUOJIP10L5,民生证券投7号,1.0041,1.0041,2017-1-13
XTBEIJINGGUOJIP10L6,民生证券投12号,0.9838,0.9838,2017-1-13
XTBEIJINGGUOJIP10L7,民生鑫鑫2号 ,0.9602,0.9602,2017-1-13
XTBEIJINGGUOJIP10L8,申孚1号,0.9670,0.9670,2017-1-13
XTBEIJINGGUOJIP10L1,申孚2号,0.9744,0.9744,2017-1-13
XTBEIJINGGUOJIP10L2,申孚3号,0.9116,0.9116,2017-1-13
XTBEIJINGGUOJIP10L3,申孚4号,0.9496,0.9496,2017-1-13
XTBEIJINGGUOJIP10L4,申孚5号,0.9135,0.9135,2017-1-13
XTBEIJINGGUOJIP10L5,申孚6号,0.9117,0.9117,2017-1-13
XTBEIJINGGUOJIP10L6,稳健策略1期,1.03,1.03,2016-12-30
XTBEIJINGGUOJIP10L7,民生证券投2号,1.1774,1.1774,2016-12-30
XTBEIJINGGUOJIP10L8,民生证券投5号,1.2488,1.2488,2016-12-30
XTBEIJINGGUOJIP10L1,民生汇鑫5号,1.0886,1.0886,2016-12-30
XTBEIJINGGUOJIP10L2,民生鑫鑫1号,0.9556,0.9556,2016-12-30
XTBEIJINGGUOJIP10L3,越大壹号,0.9729,0.9729,2016-12-30
XTBEIJINGGUOJIP10L4,越大贰号,1.0074,1.0074,2016-12-30
XTBEIJINGGUOJIP10L5,民生证券投7号,1.0015,1.0015,2016-12-30
XTBEIJINGGUOJIP10L6,民生证券投12号,1.0039,1.0039,2016-12-30
XTBEIJINGGUOJIP10L7,民生鑫鑫2号,0.9602,0.9602,2016-12-30
XTBEIJINGGUOJIP10L8,申孚1号,0.9775,0.9775,2016-12-30
XTBEIJINGGUOJIP10L1,申孚2号,1.0002,1.0002,2016-12-30
XTBEIJINGGUOJIP10L2,申孚3号,0.9187,0.9187,2016-12-30
XTBEIJINGGUOJIP10L3,申孚4号,0.9959,0.9959,2016-12-30
XTBEIJINGGUOJIP10L4,申孚5号,0.9453,0.9453,2016-12-30
XTBEIJINGGUOJIP10L5,申孚6号,0.9269,0.9269,2016-12-30
XTBEIJINGGUOJIP10L6,申孚1号,0.9452,0.9452,2016-12-23
XTBEIJINGGUOJIP10L7,申孚2号,1.0023,1.0023,2016-12-23
XTBEIJINGGUOJIP10L8,申孚3号,0.9123,0.9123,2016-12-23
XTBEIJINGGUOJIP10L1,申孚5号,0.9156,0.9156,2016-12-23
XTBEIJINGGUOJIP10L2,申孚6号,0.9127,0.9127,2016-12-23
XTBEIJINGGUOJIP10L3,稳健策略1期,1.03,1.03,2016-12-23
XTBEIJINGGUOJIP10L4,民生证券投2号,1.1864,1.1864,2016-12-23
XTBEIJINGGUOJIP10L5,民生证券投5号,1.2667,1.2667,2016-12-23
XTBEIJINGGUOJIP10L6,民生汇鑫5号,1.0978,1.0978,2016-12-23
XTBEIJINGGUOJIP10L7,民生鑫鑫1号,0.9546,0.9546,2016-12-23
XTBEIJINGGUOJIP10L8,越大壹号,0.9659,0.9659,2016-12-23
XTBEIJINGGUOJIP10L1,越大贰号,0.9941,0.9941,2016-12-23
XTBEIJINGGUOJIP10L2,民生证券投7号,1.0190,1.0190,2016-12-23
XTBEIJINGGUOJIP10L3,民生证券投12号,1.0266,1.0266,2016-12-23
XTBEIJINGGUOJIP10L4,民生鑫鑫2号,0.9588,0.9588,2016-12-23
XTBEIJINGGUOJIP10L5,同安定增,1.00,1.00,2016-12-19
XTBEIJINGGUOJIP10L6,申孚1号,0.9429,0.9429,2016-12-16
XTBEIJINGGUOJIP10L7,申孚2号,1.0061,1.0061,2016-12-16
XTBEIJINGGUOJIP10L8,申孚3号,0.9228,0.9228,2016-12-16
XTBEIJINGGUOJIP10L1,申孚4号,0.9874,0.9874,2016-12-16
XTBEIJINGGUOJIP10L2,申孚5号,0.9348,0.9348,2016-12-16
